Joe Aillet Stadium,Louisiana Tech,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Another_look_at_Joe_Aillet_Stadium_IMG_3708.JPG/80px-Another_look_at_Joe_Aillet_Stadium_IMG_3708.JPG,Ruston,LA,C-USA,1968,30600,28714,1997
John O'Quinn Field at TDECU Stadium,Houston,http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Houston_Football_Stadium_north_side_stands_construction%2C_September_2013.jpg/80px-Houston_Football_Stadium_north_side_stands_construction%2C_September_2013.jpg,Houston,TX,American,2014,40000,40755,2014
"Johnny ""Red"" Floyd Stadium",Middle Tennessee,http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Floyd_Stadium_panoramic.jpg/80px-Floyd_Stadium_panoramic.jpg,Murfreesboro,TN,C-USA,1933,31000,30502,2011
Jones AT&T Stadium,Texas Tech,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/JonesInterior.JPG/80px-JonesInterior.JPG,Lubbock,TX,Big 12,1947,60862,61836,2013
Jordan-Hare Stadium,Auburn,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Jordan-Hare_Stadium_west.jpg/80px-Jordan-Hare_Stadium_west.jpg,Auburn,AL,SEC,1939,87451,87451,
Kelly/Shorts Stadium,Central Michigan,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Kelly_shorts.jpg/80px-Kelly_shorts.jpg,Mount Pleasant,MI,MAC,1972,30199,30302,2008
Kenan Memorial Stadium,North Carolina,http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kenan_Stadium.jpg/80px-Kenan_Stadium.jpg,Chapel Hill,NC,ACC,1927,62980,62000,1997
Kibbie Dome,Idaho,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Kibbiedomeui.jpg/80px-Kibbiedomeui.jpg,Moscow,ID,Sun Belt,1975,16000,17600,1989
Kidd Brewer Stadium,Appalachian State,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/KiddBrewer2009-1.jpg/80px-KiddBrewer2009-1.jpg,Boone,NC,Sun Belt,1962,24050,31531,2010
Kinnick Stadium,Iowa,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Kinnick_Stadium_Press_Box.jpg/80px-Kinnick_Stadium_Press_Box.jpg,Iowa City,IA,Big Ten,1929,70585,70585,
Kyle Field,Texas A&M,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Kyle_Field-empty_2006.jpg/80px-Kyle_Field-empty_2006.jpg,College Station,TX,SEC,1927,106511,110633,2014
Ladd Peebles Stadium,South Alabama,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/USAJaguarsFootball.jpg/80px-USAJaguarsFootball.jpg,Mobile,AL,Sun Belt,1948,40646,38129,2014
Lane Stadium,Virginia Tech,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/LANE_STADIUM_HOKIES.JPG/80px-LANE_STADIUM_HOKIES.JPG,Blacksburg,VA,ACC,1965,66233,66233,
LaVell Edwards Stadium,BYU,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/09-18-04k.jpg/80px-09-18-04k.jpg,Provo,UT,Independent,1964,63725,66247,1993
Liberty Bowl Memorial Stadium,Memphis,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uom_stadium.JPG/80px-Uom_stadium.JPG,Memphis,TN,American,1965,62380,65885,1996
Lincoln Financial Field,Temple,http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Le_Lincoln_Financial_Field.jpg/80px-Le_Lincoln_Financial_Field.jpg,Philadelphia,PA,American,2003,68532,69029,2007
Los Angeles Memorial Coliseum,Southern California,http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Los_Angeles_Memorial_Coliseum.JPG/80px-Los_Angeles_Memorial_Coliseum.JPG,Los Angeles,CA,Pac-12,1923,93607,105236,
Mackay Stadium,Nevada,http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Mackay_4oct2014.jpg/80px-Mackay_4oct2014.jpg,Reno,NV,Mountain West,1966,30000,33391,1995
Malone Stadium,Louisiana-Monroe,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/ULM_Warhawks_Stadium%2C_Monroe%2C_LA_IMG_2779.JPG/80px-ULM_Warhawks_Stadium%2C_Monroe%2C_LA_IMG_2779.JPG,Monroe,LA,Sun Belt,1978,30427,31175,2012
Martin Stadium,Washington State,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/2008-1018-002-WSUMartinStadiumpan.JPG/80px-2008-1018-002-WSUMartinStadiumpan.JPG,Pullman,WA,Pac-12,1972,32248,40306,1997
McLane Stadium,Baylor,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/McLane_Stadium_facingsouth7.16.14.jpg/80px-McLane_Stadium_facingsouth7.16.14.jpg,Waco,TX,Big 12,2014,45140,45733,2014
Memorial Stadium,Clemson,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/CU_Memorial_Stadium_Aug2010.jpg/80px-CU_Memorial_Stadium_Aug2010.jpg,Clemson,SC,ACC,1942,81500,86092,1999
Memorial Stadium,Illinois,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Memorial_Stadium_ReDedication.jpg/80px-Memorial_Stadium_ReDedication.jpg,Champaign,IL,Big Ten,1923,60670,78297,1984
Memorial Stadium,Indiana,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/MemorialStadium-IUB.jpg/80px-MemorialStadium-IUB.jpg,Bloomington,IN,Big Ten,1960,52959,56223,1969
Memorial Stadium,Kansas,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Kansas_Memorial_Stadium.jpg/80px-Kansas_Memorial_Stadium.jpg,Lawrence,KS,Big 12,1921,50071,52530,2009
Memorial Stadium,Nebraska,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/091507-USCNeb-MemorialStadium.jpg/80px-091507-USCNeb-MemorialStadium.jpg,Lincoln,NE,Big Ten,1923,87091,91471,2013
Blaik Field at Michie Stadium,Army,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Michie_Stadium_West.jpg/80px-Michie_Stadium_West.jpg,West Point,NY,Independent,1924,38000,42765,1971
Michigan Stadium,Michigan,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Michigan_Stadium_2011.jpg/80px-Michigan_Stadium_2011.jpg,Ann Arbor,MI,Big Ten,1927,109901,115109,2013
Mountaineer Field at Milan Puskar Stadium,West Virginia,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/WVU_Opening_Game_Mountaineer_Field.jpg/80px-WVU_Opening_Game_Mountaineer_Field.jpg,Morgantown,WV,Big 12,1980,60000,70222,1993
Navy-Marine Corps Memorial Stadium,Navy,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/2005_Stanford-Navy_Game_at_Navy-Marine_Corps_Memorial_Stadium.jpg/80px-2005_Stanford-Navy_Game_at_Navy-Marine_Corps_Memorial_Stadium.jpg,Annapolis,MD,American,1959,34000,37970,2008
Neyland Stadium,Tennessee,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Neyland_and_downtown_aerial.JPG/80px-Neyland_and_downtown_aerial.JPG,Knoxville,TN,SEC,1921,102455,109061,2004
Nippert Stadium,Cincinnati,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/NippertStadium.JPG/80px-NippertStadium.JPG,Cincinnati,OH,American,1924,35097,36007,2013
Notre Dame Stadium,Notre Dame,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Notre-dame-stadium.jpg/80px-Notre-dame-stadium.jpg,Notre Dame,IN,Independent,1930,80795,80795,
Ohio Stadium,Ohio State,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ohio_Stadium%2C_Columbus.jpg/80px-Ohio_Stadium%2C_Columbus.jpg,Columbus,OH,Big Ten,1922,104944,108362,2014
Papa John's Cardinal Stadium,Louisville,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Papa_John%27s_Cardinal_Stadium_after_expansion_in_2010.jpeg/80px-Papa_John%27s_Cardinal_Stadium_after_expansion_in_2010.jpeg,Louisville,KY,ACC,1998,55000,55428,2014
Paulson Stadium,Georgia Southern,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/GSU_2014_Graduation.jpg/80px-GSU_2014_Graduation.jpg,Statesboro,GA,Sun Belt,1984,24300,25725,1989
